鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
土城區,房地(土地+建物)+車位,新北市土城區中央路四段241~270號,29.75,住,,,1051002,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040908,176.41,3,2,2,有,有,15800000,89564,坡道平面,35.27,0,,RPTPMLLJJILFFAF67CA
土城區,房地(土地+建物),新北市土城區立雲街1~30號,9.99,住,,,1050930,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870626,113.35,3,2,2,有,有,12000000,105867,,0.0,0,,RPPQMLLJJILFFAF37CA
板橋區,房地(土地+建物),新北市板橋區金門街372巷1~30號,13.14,住,,,1050924,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871106,73.32,2,1,1,有,有,7280000,99291,,0.0,0,含增建或未登記建物。;陽台外推。,RPPPMLMJJILFFAF37CA
板橋區,房地(土地+建物),新北市板橋區文化路二段225巷60弄61~90號,75.0,住,,,1050916,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,89.24,3,2,2,有,無,23000000,257732,,0.0,0,含增建或未登記建物。;權利人共兩人含增建或未登記建物。,RPQNMLNJJILFFAF37CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,2.53,住,,,1050815,土地1建物1車位0,十八層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,75.51,1,2,1,有,有,10400000,137730,,0.0,0,含增建或未登記建物。;內含獨立產權公設，未包含在棟數內。含增建或未登記建物。,RPRPMLNJJILFFAF67CA
土城區,房地(土地+建物),新北市土城區樂利街3巷1~30號,4.24,住,,,1051004,土地1建物1車位0,六層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0881015,32.19,1,1,1,有,無,4680000,145387,,0.0,0,,RPWQMLNJJILFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區雙十路一段1~30號,13.67,住,,,1050915,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980827,117.64999999999999,2,2,1,有,有,15920000,135317,坡道機械,19.38,0,含增建或未登記建物。;共有人數2人含增建或未登記建物。,RPROMLOJJILFFAF67CA
板橋區,土地,信義段121~150地號,5.34,其他,,,1051024,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,982304,183952,,0.0,0,,RPRPMLRJJILFFAF08CA
板橋區,土地,忠孝段301~330地號,20.7,其他,,,1051024,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3991382,192820,,0.0,0,,RPSPMLRJJILFFAF18CA
板橋區,房地(土地+建物),新北市板橋區南雅東路29巷3弄1~30號,30.34,住,,,1051018,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,114.7,3,2,2,有,無,12000000,104621,,0.0,0,含增建或未登記建物。;增建或占用範圍:陽台外推,RPTPMLRJJILFFAF28CA
土城區,房地(土地+建物),新北市土城區學享街31~60號,7.97,住,,,1050911,土地2建物1車位0,十層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971111,51.57,1,1,1,有,有,7300000,141555,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPSOMLKKJILFFAF47CA
土城區,房地(土地+建物),新北市土城區中央路三段61巷1~30號,20.18,住,,,1050917,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.25999999999999,3,2,1,有,有,7600000,84201,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPUOMLKKJILFFAF67CA
土城區,土地,安和段181~210地號,29.06,其他,,,1051018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1873869,64483,,0.0,0,,RPQNMLQKJILFFAF77CA
板橋區,土地,介壽段1021~1050地號,2.05,其他,,,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,243902,,0.0,0,公共設施保留地之交易。,RPQSMLRKJILFFAF38CA
板橋區,土地,新興段1261~1290地號,72.13,住,,,1050909,土地84建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11100108,153890,,0.0,0,土地(包含公共設施保留地)，土地上有非屬賣方所有之地上物，由買方自行負責處理，與賣方無涉。,RPQRMLTLJILFFAF58CA
