rank,country_rank,player_name,country,accuracy,play_count,level,hours,performance_points,ranked_score,ss,s,a,watched_by,total_hits,device
1,1,Cookiezi,South Korea,98.86,15245,101,324,13450,22401473154,55,454,325,3057421,6372761,tablet
2,2,Angelsim,South Korea,98.87,124726,103,1457,12950,35481061465,159,1369,679,498548,29845228,mouse
3,1,Rafis,Poland,99.03,208066,103,2229,12942,36343320002,170,1654,785,1170973,35760655,tablet
4,1,Vaxei,United States,98.03,93012,101,1034,12735,18096595619,34,541,563,152551,15601281,tablet
5,1,hvick225,Taiwan,98.93,134052,102,1970,12421,47072997400,826,3466,701,2015824,22576332,tablet
6,1,filsdelama,France,98.59,114629,102,1476,12211,29533435386,196,1516,585,159116,24265869,tablet
7,1,_index,Russia,98.74,56195,102,844,11314,38146854078,426,1503,476,463361,18502111,tablet
8,1,Dustice,Germany,98.89,83839,101,1246,11208,39126859229,112,2268,1336,75861,19686899,tablet
9,1,Spare,United Kingdom,99.25,59329,101,805,11105,33756034097,308,1205,864,135613,11745064,mouse
10,2,Gayzmcgee,United States,99.23,78862,101,1058,11054,21973937247,29,658,716,226319,22604434,tablet
11,1,Rohulk,Romania,99.21,35385,102,853,10946,70932819316,42,1655,1766,141960,21149515,tablet
12,3,HappyStick,United States,98.60,170695,104,2016,10909,49901801603,133,2174,487,179290,39480779,tablet
13,1,Azerite,Lithuania,98.48,53404,100,651,10905,10839383111,22,354,753,6539,10602223,mouse
14,1,DanyL,Chile,97.17,76297,101,887,10871,18231393431,79,809,279,4992,14719984,tablet
15,2,Musty,France,99.27,101215,102,1255,10826,44218589839,117,1706,1305,41447,20767576,tablet
16,2,talala,Russia,98.59,189072,103,2268,10783,47988821689,130,2361,1474,113453,38790552,tablet
17,4,Toy,United States,99.45,169192,104,2326,10761,77420610889,2739,2955,640,458230,34949012,tablet
18,1,Sanze,Finland,99.17,154253,101,1640,10739,22784633752,110,1367,1041,25943,28518938,tablet
19,2,Adamqs,Poland,99.39,132289,102,1661,10739,39148816766,141,1644,898,274042,26920414,tablet
20,1,Emilia,Singapore,96.55,70602,100,964,10712,24427932301,36,1056,915,44649,15501781,tablet
21,3,-Konpaku-,South Korea,98.94,75537,101,1146,10656,27995448436,76,1133,932,30125,21320254,tablet
22,1,-Zirba-,Japan,98.83,78816,100,926,10655,14406845480,40,828,808,53606,13473417,tablet
23,1,CXu,Norway,99.05,105705,102,1990,10637,49228976800,865,3582,131,249975,27404012,tablet
24,3,Wilchq,Poland,99.28,78504,105,1308,10619,87059078855,1197,3313,255,153424,24910884,mouse
25,1,Mizuru,Portugal,99.08,81852,101,1011,10617,26421126358,85,910,950,33013,17183943,tablet
26,5,Axarious,United States,97.24,62671,101,765,10610,21373014245,35,852,467,283480,14104216,tablet
27,2,Recia,Japan,98.88,97448,103,1195,10605,52644329916,658,2622,181,404977,23567988,tablet
28,6,free mutual,United States,98.61,37899,101,627,10553,22452354900,16,471,356,24134,14556257,tablet
29,7,kablaze,United States,99.36,101396,102,1305,10503,39732769068,485,1407,935,72572,23366532,tablet
30,4,Tarulas,South Korea,98.84,81009,101,956,10466,26246358342,50,1072,520,18684,17358292,tablet
31,1,Totori,China,97.86,66407,101,1036,10451,45158316510,139,2172,970,345971,19979623,tablet
32,2,Mathi,Chile,98.70,89950,102,1101,10450,22320893736,26,577,516,16533,19003237,tablet
33,1,MouseEasy,Brazil,97.88,111016,101,1333,10296,29997798643,239,1421,1103,65151,21321217,mouse
34,5,Yaong,South Korea,99.39,96014,103,1244,10290,53417088395,466,1658,782,480346,25673139,tablet
35,4,WubWoofWolf,Poland,99.32,205433,105,4104,10273,123071860888,6743,8578,1701,5685620,42402671,tablet
36,6,Green NPC,South Korea,98.24,83675,100,1117,10179,13685446488,18,676,794,10512,20030400,tablet
37,8,Xilver,United States,99.40,196185,104,2204,10159,48380296063,149,1427,706,143069,40958581,tablet
38,1,Azer,Canada,99.04,76389,101,966,10123,31742553221,197,1060,702,311288,17157506,tablet
39,5,Salieri,Poland,98.64,124265,101,1701,10118,29121412810,129,1926,1304,26491,22845801,tablet
